time_ms	kiln
26515072.0	296.25
26520073.0	296.25
26525074.0	295.8101
26530075.0	296.47
26535076.0	296.4964
26540077.0	296.2501
26545078.0	296.2501
26550079.0	296.5
26555080.0	296.4996
26560081.0	296.5
26565082.0	296.4968
26570083.0	296.5
26575084.0	296.5
26580085.0	296.5
26585086.0	296.5004
26590087.0	296.5
26595088.0	296.5
26600089.0	296.5
26605090.0	296.5
26610091.0	296.7199
26615092.0	296.7203
26620093.0	296.7468
26625094.0	296.7499
26630095.0	296.75
26635096.0	296.0901
26640097.0	296.7499
26645098.0	296.7499
26650099.0	296.75
26655100.0	296.7499
26660101.0	296.75
26665102.0	296.9705
26670103.0	296.78
26675104.0	296.9968
26680105.0	296.9968
26685106.0	296.7536
26690107.0	297
26695108.0	297
26700109.0	297
26705110.0	297
26710111.0	297
26715112.0	297
26720113.0	296.9736
26725114.0	297.0004
26730115.0	297.0001
26735116.0	297.2465
26740117.0	297.25
26745118.0	297.25
26750119.0	297.25
26755120.0	297.25
26760121.0	297.25
26765122.0	297.25
26770123.0	297.25
26775124.0	297.25
26780125.0	297.2764
26785126.0	297.4734
26790127.0	297.4731
26795128.0	297.4999
26800129.0	297.4968
26805130.0	297.4999
26810131.0	297.4999
26815132.0	297.4999
26820133.0	297.4999
26825134.0	297.4999
26830135.0	297.4999
26835136.0	297.4999
26840137.0	297.7203
26845138.0	297.5269
26850142.0	297.75
26855143.0	297.53
26860144.0	297.75
26865145.0	297.75
26870146.0	297.75
26875147.0	297.75
26880148.0	297.75
26885149.0	297.75
26890150.0	297.7468
26895151.0	297.75
26900152.0	297.97
26905153.0	297.9735
26910154.0	297.9704
26915155.0	297.9999
26920156.0	298
26925157.0	298
26930158.0	298
26935159.0	298
26940160.0	298
26945161.0	298
26950162.0	298.0266
26955163.0	298.0032
26960164.0	298.03
26965165.0	298.2499
26970166.0	298.2496
26975167.0	298.25
26980168.0	298.2499
26985169.0	298.2496
26990170.0	298.2499
26995171.0	298.25
27000172.0	298.2499
27005173.0	298.2503
27010174.0	298.25
27015175.0	298.4988
27020176.0	298.5
27025177.0	298.4968
27030178.0	298.5004
27035179.0	298.4471
27040180.0	298.5
27045181.0	298.4968
27050182.0	298.5
27055183.0	298.5
27060184.0	298.5
27065185.0	298.5
27070186.0	298.5032
27075187.0	298.5
27080188.0	298.5
27085189.0	298.7499
27090190.0	298.5269
27095191.0	298.7499
27100192.0	298.7236
27105193.0	298.75
27110194.0	298.75
27115195.0	298.75
27120196.0	298.6971
27125197.0	298.7765
27130198.0	298.75
27135199.0	298.75
27140200.0	298.9735
27145201.0	298.7769
27150202.0	298.9999
27155203.0	298.7797
27160204.0	299
27165205.0	299
27170206.0	298.9735
27175207.0	298.7801
27180208.0	299
27185209.0	299
27190210.0	299
27195211.0	299
27200212.0	299
27205213.0	299
27210214.0	299.0004
27215215.0	299.0264
27220216.0	299.0265
27225217.0	299.0032
27230218.0	299.2468
27235219.0	299.25
27240220.0	299.25
27245221.0	299.25
27250222.0	299.25
27255223.0	299.25
27260224.0	299.25
27265225.0	299.25
27270226.0	299.25
27275227.0	299.25
